dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.706000,20.000000,9.716000,3.225000,-20.000000,-0.000000,0.000000
0.020000,19.766500,20.000000,9.776500,2.825000,-20.000000,0.000000,0.000000
0.020000,19.819000,20.000000,9.829000,2.425000,-20.000000,0.000000,0.000000
0.020000,19.863500,20.000000,9.873500,2.025000,-20.000000,0.000000,0.000000
0.020000,19.900175,20.000000,9.910175,1.642500,-19.125000,43.750000,0.000000
0.020000,19.929600,20.000000,9.939600,1.300000,-17.125000,100.000000,0.000000
0.020000,19.952575,20.000000,9.962575,0.997500,-15.125000,100.000000,0.000000
0.020000,19.969900,20.000000,9.979900,0.735000,-13.125000,100.000000,0.000000
0.020000,19.982375,20.000000,9.992375,0.512500,-11.125000,100.000000,0.000000
0.020000,19.990800,20.000000,10.000800,0.330000,-9.125000,100.000000,0.000000
0.020000,19.995975,20.000000,10.005975,0.187500,-7.125000,100.000000,0.000000
0.020000,19.998700,20.000000,10.008700,0.085000,-5.125000,100.000000,0.000000
0.020000,19.999775,20.000000,10.009775,0.022500,-3.125000,100.000000,0.000000
0.020000,20.000000,20.000000,10.010000,0.000000,-1.125000,100.000000,0.000000
0.020000,20.000000,20.000000,10.010000,0.000000,0.000000,56.250000,0.000000
